booking_id,customer_id,returning_customer,customer_age,tour_id,departure_id,tour_name,location,region,tour_type,customer_origin,booking_segment,booking_channel,booking_stage,unit_price_vnd,adults,children,infants,participants,booking_date,travel_start,travel_end,season,weather_condition,status,post_tour_rating,revenue_vnd,total_cost_vnd,profit_vnd
B002670,CUST02174,FALSE,29,T206,T206_SH_So_220122_0199,Tour Hà Giang 4N3Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Solo,OTA,Normal,1510000,1,0,0,1,1/8/2022,1/22/2022,1/25/2022,Winter,Cloudy,Completed,4.2,1510000,1090000,420000
B002671,CUST02175,FALSE,34,T358,T358_PV_Co_220107_002670,Tour Đà Lạt 5N4Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Corporate,OTA,Early,1890000,19,0,0,19,12/30/2021,1/7/2022,1/11/2022,Winter,Cloudy,Completed,4.4,35910000,26000000,9910000
B002672,CUST02176,FALSE,45,T329,T329_SH_Fa_220308_0247,Tour Bến Tre 3N2Đ - Cultural,Bến Tre,Nam Bộ,Cultural,Domestic,Family,Website,Early,1220000,3,2,0,5,2/5/2022,3/8/2022,3/10/2022,Spring,Sunny,Completed,4,5120000,3780000,1340000
B002673,CUST02177,FALSE,23,T080,T080_SH_Gr_221119_0185,Tour Vũng Tàu 2N1Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Group,Social,Normal,1050000,8,0,0,8,10/28/2022,11/19/2022,11/20/2022,Winter,Cloudy,Completed,3.7,8400000,6670000,1730000
B002674,CUST02178,FALSE,33,T342,T342_SH_Co_240227_0220,Tour Quảng Bình 3N2Đ - Adventure,Quảng Bình,Bắc Trung Bộ,Adventure,Domestic,Couple,Hotline,Normal,1100000,2,0,0,2,2/8/2024,2/27/2024,2/29/2024,Spring,Sunny,Completed,4,2200000,1560000,640000
B002675,CUST00638,TRUE,41,T117,T117_SH_Fo_240612_0216,Tour Vũng Tàu 2N1Đ - City,Vũng Tàu,Nam Bộ,City,Foreign,Foreign,Website,Normal,850000,2,0,0,2,5/30/2024,6/12/2024,6/13/2024,Summer,Rainy,Completed,3.7,1700000,1210000,490000
B002676,CUST02179,FALSE,27,T120,T120_SH_So_220611_0172,Tour Cần Thơ 1N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Solo,Website,Normal,500000,1,0,0,1,5/27/2022,6/11/2022,6/11/2022,Summer,Rainy,Completed,4.2,500000,360000,140000
B002677,CUST02180,FALSE,27,T108,T108_PV_Co_230605_002676,Tour Mũi Né 3N2Đ - Cultural,Mũi Né,Nam Trung Bộ,Cultural,Domestic,Corporate,Agent,Early,1580000,26,0,0,26,4/28/2023,6/5/2023,6/7/2023,Summer,Cloudy,Completed,4.5,41080000,29290000,11790000
B002678,CUST02181,FALSE,34,T203,T203_SH_Fa_230512_0031,Tour Đà Nẵng 2N1Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Family,Social,Early,1360000,2,1,0,3,4/6/2023,5/12/2023,5/13/2023,Summer,Cloudy,Completed,4.4,3540000,2600000,940000
B002679,CUST02182,FALSE,20,T220,T220_SH_Gr_220331_0510,Tour Sa Pa 2N1Đ - Adventure,Sa Pa,Bắc Bộ,Adventure,Domestic,Group,Social,Normal,920000,8,0,0,8,3/18/2022,3/31/2022,4/1/2022,Spring,Sunny,Completed,5,7360000,5300000,2060000
B002680,CUST02183,FALSE,29,T266,T266_SH_Co_230208_0106,Tour Cần Thơ 1N1Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Couple,OTA,Normal,500000,2,0,0,2,1/13/2023,2/8/2023,2/8/2023,Spring,Sunny,Completed,3.9,1000000,740000,260000
B002681,CUST02184,FALSE,32,T260,T260_SH_Fo_240213_0185,Tour Hà Nội 4N3Đ - City,Hà Nội,Bắc Bộ,City,Foreign,Foreign,Social,Late,1850000,2,0,0,2,2/2/2024,2/13/2024,2/16/2024,Spring,Sunny,Completed,3.5,3700000,2600000,1100000
B002682,CUST02185,FALSE,28,T124,T124_SH_So_220318_0180,Tour Quảng Bình 4N3Đ - Adventure,Quảng Bình,Bắc Trung Bộ,Adventure,Domestic,Solo,Social,Normal,1600000,1,0,0,1,2/27/2022,3/18/2022,3/21/2022,Spring,Sunny,Completed,4.6,1600000,1270000,330000
B002683,CUST02186,FALSE,36,T166,T166_PV_Co_240814_002682,Tour Đà Lạt 1N1Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Corporate,OTA,Early,550000,23,0,0,23,7/11/2024,8/14/2024,8/14/2024,Summer,Cloudy,Completed,5,12650000,9470000,3180000
B002684,CUST00268,TRUE,33,T157,T157_SH_Fa_240207_0128,Tour Ninh Bình 8N7Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Domestic,Family,Hotline,Normal,2750000,4,2,0,6,1/16/2024,2/7/2024,2/14/2024,Spring,Cloudy,Completed,4.5,14300000,10570000,3730000
B002685,CUST02187,FALSE,20,T114,T114_SH_Gr_231017_0496,Tour TP.HCM 4N3Đ - Cultural,TP.HCM,Nam Bộ,Cultural,Domestic,Group,Website,Normal,1640000,7,0,0,7,10/1/2023,10/17/2023,10/20/2023,Autumn,Rainy,Completed,3.3,11480000,7730000,3750000
B002686,CUST02188,FALSE,33,T090,T090_SH_Co_230511_0009,Tour Mũi Né 2N1Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Couple,OTA,Early,1370000,2,0,0,2,4/3/2023,5/11/2023,5/12/2023,Summer,Sunny,Completed,4.7,2740000,2010000,730000
B002687,CUST02189,FALSE,52,T091,T091_SH_Fo_230217_0064,Tour Vũng Tàu 5N4Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Foreign,Foreign,Social,Normal,2190000,3,0,0,3,2/1/2023,2/17/2023,2/21/2023,Spring,Sunny,Completed,3.5,6570000,4530000,2040000
B002688,CUST02190,FALSE,34,T102,T102_SH_So_230702_0126,Tour Bến Tre 2N1Đ - Cultural,Bến Tre,Nam Bộ,Cultural,Domestic,Solo,Hotline,Normal,1180000,1,0,0,1,6/14/2023,7/2/2023,7/3/2023,Summer,Cloudy,Completed,3.9,1180000,880000,300000
B002689,CUST02191,FALSE,35,T330,T330_PV_Co_240928_002688,Tour Nha Trang 3N2Đ - Beach,Nha Trang,Nam Trung Bộ,Beach,Domestic,Corporate,Agent,Normal,1650000,29,0,0,29,9/7/2024,9/28/2024,9/30/2024,Autumn,Sunny,Completed,4.4,47850000,35070000,12780000
B002690,CUST02192,FALSE,48,T345,T345_SH_Fa_240321_0211,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Family,OTA,Early,1260000,5,3,0,8,2/12/2024,3/21/2024,3/23/2024,Spring,Sunny,Completed,4.6,8570000,5840000,2730000
B002691,CUST02193,FALSE,26,T194,T194_SH_Gr_241226_0048,Tour Hà Giang 2N1Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Group,OTA,Normal,1070000,8,0,0,8,12/9/2024,12/26/2024,12/27/2024,Winter,Sunny,Completed,4,8560000,5950000,2610000
B002692,CUST02194,FALSE,28,T124,T124_SH_Co_221229_0218,Tour Quảng Bình 4N3Đ - Adventure,Quảng Bình,Bắc Trung Bộ,Adventure,Domestic,Couple,Agent,Normal,1390000,2,0,0,2,12/13/2022,12/29/2022,1/1/2023,Winter,Sunny,Completed,4.3,2780000,2230000,550000
B002693,CUST02195,FALSE,39,T055,T055_SH_Fo_241229_0006,Tour Sa Pa 2N1Đ - Adventure,Sa Pa,Bắc Bộ,Adventure,Foreign,Foreign,Agent,Normal,940000,3,0,0,3,12/13/2024,12/29/2024,12/30/2024,Winter,Sunny,Completed,4.8,2820000,2000000,820000
B002694,CUST02196,FALSE,30,T080,T080_SH_So_230508_0141,Tour Vũng Tàu 2N1Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Solo,OTA,Normal,1080000,1,0,0,1,4/26/2023,5/8/2023,5/9/2023,Summer,Sunny,Completed,4.2,1080000,760000,320000
B002695,CUST02197,FALSE,31,T257,T257_PV_Co_220312_002694,Tour TP.HCM 2N1Đ - Food,TP.HCM,Nam Bộ,Food,Domestic,Corporate,Agent,Normal,890000,18,0,0,18,2/14/2022,3/12/2022,3/13/2022,Spring,Cloudy,Completed,5,16020000,12830000,3190000
B002696,CUST00341,TRUE,49,T183,T183_PV_Fa_240228_002695,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Family,Website,Early,1280000,8,6,0,14,1/31/2024,2/28/2024,3/1/2024,Spring,Rainy,Cancelled,,0,0,0
B002697,CUST00291,TRUE,21,T300,T300_SH_Gr_221208_0548,Tour Vũng Tàu 3N2Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Group,Agent,Normal,2070000,8,0,0,8,11/11/2022,12/8/2022,12/10/2022,Winter,Sunny,Completed,4.5,16560000,12260000,4300000
B002698,CUST01519,TRUE,38,T081,T081_SH_Co_240107_0389,Tour Vũng Tàu 4N3Đ - Beach,Vũng Tàu,Nam Bộ,Beach,Domestic,Couple,Website,Normal,2490000,2,0,0,2,12/21/2023,1/7/2024,1/10/2024,Winter,Sunny,Completed,4.5,4980000,3550000,1430000
B002699,CUST02198,FALSE,28,T297,T297_SH_Fo_240508_0025,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Foreign,Foreign,OTA,Normal,2200000,3,0,0,3,4/24/2024,5/8/2024,5/10/2024,Summer,Sunny,Completed,4.7,6600000,5040000,1560000
B002700,CUST02199,FALSE,27,T126,T126_SH_So_220818_0037,Tour Hạ Long 3N2Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Domestic,Solo,Social,Normal,1990000,1,0,0,1,8/3/2022,8/18/2022,8/20/2022,Summer,Sunny,Completed,3.9,1990000,1330000,660000
B002701,CUST02200,FALSE,36,T238,T238_PV_Co_230905_002700,Tour Ninh Bình 4N3Đ - City,Ninh Bình,Bắc Bộ,City,Domestic,Corporate,Agent,Normal,1890000,24,0,0,24,8/16/2023,9/5/2023,9/8/2023,Autumn,Cloudy,Completed,4.2,45360000,34080000,11280000
B002427,CUST01973,FALSE,22,T010,T010_SH_Gr_221007_0055,Tour Hạ Long 4N3Đ - Cultural,Hạ Long,Bắc Bộ,Cultural,Domestic,Group,Hotline,Normal,1590000,5,0,0,5,9/16/2022,10/7/2022,10/10/2022,Autumn,Rainy,Completed,4.5,7950000,6050000,1900000
B002428,CUST01974,FALSE,40,T024,T024_SH_Co_240624_0364,Tour Hà Nội 3N2Đ - City,Hà Nội,Bắc Bộ,City,Domestic,Couple,Website,Normal,1580000,2,0,0,2,6/6/2024,6/24/2024,6/26/2024,Summer,Sunny,Completed,3.9,3160000,2490000,670000
B002429,CUST01975,FALSE,31,T159,T159_SH_Fo_240705_0099,Tour Mũi Né 4N3Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Foreign,Foreign,Hotline,Normal,2970000,3,0,0,3,6/21/2024,7/5/2024,7/8/2024,Summer,Cloudy,Completed,4,8910000,6010000,2900000
B002430,CUST01976,FALSE,28,T245,T245_SH_So_231220_0177,Tour Đà Nẵng 1N1Đ - City,Đà Nẵng,Nam Trung Bộ,City,Domestic,Solo,OTA,Normal,500000,1,0,0,1,12/6/2023,12/20/2023,12/20/2023,Winter,Sunny,Completed,4.7,500000,350000,150000
B002431,CUST01977,FALSE,29,T015,T015_PV_Co_220530_002430,Tour TP.HCM 6N5Đ - City,TP.HCM,Nam Bộ,City,Domestic,Corporate,Website,Early,3340000,29,0,0,29,4/26/2022,5/30/2022,6/4/2022,Summer,Sunny,Completed,4.3,96860000,77320000,19540000
B002432,CUST01978,FALSE,55,T230,T230_SH_Fa_240501_0259,Tour Đà Nẵng 3N2Đ - City,Đà Nẵng,Nam Trung Bộ,City,Domestic,Family,Social,Early,1680000,5,3,0,8,3/25/2024,5/1/2024,5/3/2024,Summer,Sunny,Completed,4.3,11420000,8210000,3210000
B002433,CUST01979,FALSE,20,T097,T097_SH_Gr_240628_0453,Tour Hà Nội 4N3Đ - Mountain,Hà Nội,Bắc Bộ,Mountain,Domestic,Group,Hotline,Normal,1780000,6,0,0,6,5/30/2024,6/28/2024,7/1/2024,Summer,Cloudy,Completed,2.8,10680000,8070000,2610000
B002434,CUST01381,TRUE,31,T318,T318_SH_Co_230819_0418,Tour Bến Tre 2N1Đ - Cultural,Bến Tre,Nam Bộ,Cultural,Domestic,Couple,Social,Normal,830000,2,0,0,2,7/20/2023,8/19/2023,8/20/2023,Summer,Sunny,Completed,3.7,1660000,1100000,560000
B002435,CUST01980,FALSE,46,T059,T059_SH_Fo_221030_0156,Tour Ninh Bình 4N3Đ - City,Ninh Bình,Bắc Bộ,City,Foreign,Foreign,OTA,Normal,1580000,3,0,0,3,10/16/2022,10/30/2022,11/2/2022,Autumn,Cloudy,Completed,4.6,4740000,3250000,1490000
B002436,CUST01981,FALSE,35,T133,T133_SH_So_221011_0050,Tour Sa Pa 4N3Đ - Adventure,Sa Pa,Bắc Bộ,Adventure,Domestic,Solo,Website,Late,1240000,1,0,0,1,10/3/2022,10/11/2022,10/14/2022,Autumn,Sunny,Completed,4.2,1240000,980000,260000
B002437,CUST01982,FALSE,38,T001,T001_PV_Co_231222_002436,Tour Ninh Bình 3N2Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Domestic,Corporate,Agent,Normal,1850000,15,0,0,15,11/23/2023,12/22/2023,12/24/2023,Winter,Cloudy,Completed,4.2,27750000,19290000,8460000
B002438,CUST01983,FALSE,54,T088,T088_PV_Fa_220122_002437,Tour Bến Tre 2N1Đ - River,Bến Tre,Nam Bộ,River,Domestic,Family,Social,Early,830000,7,5,0,12,12/29/2021,1/22/2022,1/23/2022,Winter,Sunny,Completed,4.2,8300000,5610000,2690000
B002439,CUST01984,FALSE,23,T251,T251_SH_Gr_241221_0364,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Group,OTA,Normal,1060000,10,0,0,10,12/5/2024,12/21/2024,12/23/2024,Winter,Sunny,Completed,4.8,10600000,8350000,2250000
B002440,CUST01985,FALSE,39,T265,T265_SH_Co_221201_0281,Tour TP.HCM 4N3Đ - City,TP.HCM,Nam Bộ,City,Domestic,Couple,Social,Normal,2050000,2,0,0,2,11/7/2022,12/1/2022,12/4/2022,Winter,Cloudy,Completed,5,4100000,2790000,1310000
B002441,CUST01986,FALSE,27,T323,T323_SH_Fo_231207_0047,Tour Ninh Bình 2N1Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Foreign,Foreign,OTA,Late,900000,3,0,0,3,12/1/2023,12/7/2023,12/8/2023,Winter,Sunny,Completed,4.6,2700000,2040000,660000
B002442,CUST01987,FALSE,27,T028,T028_SH_So_241216_0162,Tour TP.HCM 2N1Đ - City,TP.HCM,Nam Bộ,City,Domestic,Solo,Website,Late,1030000,1,0,0,1,12/7/2024,12/16/2024,12/17/2024,Winter,Sunny,Completed,4.1,1030000,730000,300000
B002443,CUST01988,FALSE,35,T200,T200_PV_Co_231008_002442,Tour Bến Tre 1N1Đ - River,Bến Tre,Nam Bộ,River,Domestic,Corporate,Social,Normal,560000,17,0,0,17,9/18/2023,10/8/2023,10/8/2023,Autumn,Sunny,Completed,2.8,9520000,7080000,2440000
B002444,CUST01989,FALSE,52,T016,T016_SH_Fa_240113_0199,Tour Cần Thơ 6N5Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Family,OTA,Early,3060000,2,1,0,3,12/3/2023,1/13/2024,1/18/2024,Winter,Sunny,Completed,4.5,7960000,6250000,1710000
B002445,CUST01990,FALSE,24,T351,T351_SH_Gr_241212_0357,Tour Bến Tre 3N2Đ - River,Bến Tre,Nam Bộ,River,Domestic,Group,Hotline,Normal,1090000,6,0,0,6,11/18/2024,12/12/2024,12/14/2024,Winter,Sunny,Completed,3.6,6540000,4850000,1690000
B002446,CUST01954,TRUE,32,T060,T060_SH_Co_241022_0235,Tour Cần Thơ 3N2Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Couple,OTA,Normal,1370000,2,0,0,2,9/30/2024,10/22/2024,10/24/2024,Autumn,Cloudy,Cancelled,,0,0,0
B002447,CUST01991,FALSE,32,T175,T175_SH_Fo_230525_0001,Tour Hội An 3N2Đ - Cultural,Hội An,Bắc Trung Bộ,Cultural,Foreign,Foreign,Hotline,Normal,1300000,3,0,0,3,5/9/2023,5/25/2023,5/27/2023,Summer,Rainy,Completed,4.8,3900000,2760000,1140000
B002448,CUST01992,FALSE,33,T106,T106_SH_So_231203_0100,Tour Đà Lạt 3N2Đ - Adventure,Đà Lạt,Tây Nguyên,Adventure,Domestic,Solo,Agent,Late,1270000,1,0,0,1,11/27/2023,12/3/2023,12/5/2023,Winter,Cloudy,Completed,4.7,1270000,980000,290000
B002449,CUST01993,FALSE,36,T232,T232_PV_Co_240216_002448,Tour Quảng Bình 3N2Đ - Beach,Quảng Bình,Bắc Trung Bộ,Beach,Domestic,Corporate,Website,Early,1780000,28,0,0,28,1/3/2024,2/16/2024,2/18/2024,Spring,Sunny,Completed,4.7,49840000,36920000,12920000
B002450,CUST01994,FALSE,54,T166,T166_SH_Fa_230115_0155,Tour Đà Lạt 1N1Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Family,Website,Early,500000,2,2,0,4,12/14/2022,1/15/2023,1/15/2023,Winter,Sunny,Completed,4,1600000,1170000,430000
B002451,CUST01995,FALSE,32,T248,T248_SH_Gr_240416_0206,Tour Cần Thơ 5N4Đ - City,Cần Thơ,Nam Bộ,City,Domestic,Group,Hotline,Normal,2280000,11,0,0,11,3/26/2024,4/16/2024,4/20/2024,Spring,Sunny,Completed,4.5,25080000,19210000,5870000
B002452,CUST01996,FALSE,38,T297,T297_SH_Co_220809_0370,Tour Đà Nẵng 3N2Đ - Beach,Đà Nẵng,Nam Trung Bộ,Beach,Domestic,Couple,Agent,Normal,2220000,2,0,0,2,7/18/2022,8/9/2022,8/11/2022,Summer,Cloudy,Completed,5,4440000,3240000,1200000
B002453,CUST01997,FALSE,46,T007,T007_SH_Fo_240216_0200,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Foreign,Foreign,Website,Normal,1240000,2,0,0,2,2/6/2024,2/16/2024,2/18/2024,Spring,Rainy,Completed,3.9,2480000,1570000,910000
B002454,CUST01998,FALSE,31,T329,T329_SH_So_230217_0018,Tour Bến Tre 3N2Đ - Cultural,Bến Tre,Nam Bộ,Cultural,Domestic,Solo,OTA,Normal,1740000,1,0,0,1,2/5/2023,2/17/2023,2/19/2023,Spring,Cloudy,Completed,4.6,1740000,1300000,440000
B002455,CUST01999,FALSE,27,T099,T099_PV_Co_220306_002454,Tour Mũi Né 2N1Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Corporate,OTA,Early,1430000,20,0,0,20,1/20/2022,3/6/2022,3/7/2022,Spring,Cloudy,Completed,4.2,28600000,20010000,8590000
B002456,CUST01894,TRUE,50,T111,T111_SH_Fa_230320_0249,Tour Huế 2N1Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Domestic,Family,Hotline,Normal,650000,3,2,0,5,2/24/2023,3/20/2023,3/21/2023,Spring,Rainy,Completed,3.4,2730000,1920000,810000
B002457,CUST02000,FALSE,31,T170,T170_SH_Gr_221031_0294,Tour Đà Lạt 3N2Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Group,Website,Normal,1340000,7,0,0,7,10/18/2022,10/31/2022,11/2/2022,Autumn,Sunny,Completed,4.4,9380000,7230000,2150000
B002458,CUST01363,TRUE,38,T307,T307_SH_Co_240211_0309,Tour Quảng Bình 3N2Đ - Cultural,Quảng Bình,Bắc Trung Bộ,Cultural,Domestic,Couple,OTA,Normal,1410000,2,0,0,2,1/25/2024,2/11/2024,2/13/2024,Spring,Cloudy,Completed,3.9,2820000,1950000,870000
B002702,CUST02038,TRUE,48,T023,T023_SH_Fa_241015_0162,Tour Bến Tre 2N1Đ - Cultural,Bến Tre,Nam Bộ,Cultural,Domestic,Family,Social,Normal,780000,5,3,0,8,9/25/2024,10/15/2024,10/16/2024,Autumn,Sunny,Completed,3.6,5300000,4220000,1080000
B002703,CUST00297,TRUE,22,T168,T168_SH_Gr_241225_0005,Tour Phú Quốc 3N2Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Group,OTA,Normal,1660000,6,0,0,6,12/7/2024,12/25/2024,12/27/2024,Winter,Sunny,Completed,4.9,9960000,7730000,2230000
B002704,CUST02201,FALSE,30,T168,T168_SH_Co_240409_0321,Tour Phú Quốc 3N2Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Couple,OTA,Normal,1380000,2,0,0,2,3/29/2024,4/9/2024,4/11/2024,Spring,Sunny,Completed,4.2,2760000,2120000,640000
B002705,CUST00016,TRUE,45,T116,T116_SH_Fo_230904_0188,Tour Bến Tre 2N1Đ - River,Bến Tre,Nam Bộ,River,Foreign,Foreign,Hotline,Late,1020000,3,0,0,3,9/2/2023,9/4/2023,9/5/2023,Autumn,Sunny,Completed,4.9,3060000,2260000,800000
B002706,CUST02059,TRUE,31,T314,T314_SH_So_220917_0000,Tour Hà Giang 2N1Đ - Mountain,Hà Giang,Bắc Bộ,Mountain,Domestic,Solo,Website,Normal,950000,1,0,0,1,9/6/2022,9/17/2022,9/18/2022,Autumn,Sunny,Completed,4.7,950000,670000,280000
B002707,CUST02202,FALSE,44,T013,T013_PV_Co_241225_002706,Tour Hạ Long 2N1Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Domestic,Corporate,Social,Early,1330000,13,0,0,13,11/28/2024,12/25/2024,12/26/2024,Winter,Rainy,Completed,4.7,17290000,12790000,4500000
B002708,CUST02203,FALSE,51,T327,T327_SH_Fa_230720_0084,Tour Hà Nội 3N2Đ - Cultural,Hà Nội,Bắc Bộ,Cultural,Domestic,Family,Social,Early,1600000,2,1,0,3,6/1/2023,7/20/2023,7/22/2023,Summer,Sunny,Completed,5,4160000,2800000,1360000
B002709,CUST02204,FALSE,22,T076,T076_SH_Gr_241111_0483,Tour Cần Thơ 3N2Đ - River,Cần Thơ,Nam Bộ,River,Domestic,Group,Website,Normal,1250000,8,0,0,8,10/24/2024,11/11/2024,11/13/2024,Winter,Cloudy,Completed,4.2,10000000,7940000,2060000
B002710,CUST02205,FALSE,32,T134,T134_SH_Co_231202_0168,Tour Bến Tre 3N2Đ - River,Bến Tre,Nam Bộ,River,Domestic,Couple,Website,Normal,1240000,2,0,0,2,11/18/2023,12/2/2023,12/4/2023,Winter,Sunny,Completed,4.4,2480000,1680000,800000
B002711,CUST02206,FALSE,25,T288,T288_SH_Fo_230503_0119,Tour Huế 1N1Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Foreign,Foreign,Agent,Normal,500000,3,0,0,3,4/17/2023,5/3/2023,5/3/2023,Summer,Sunny,Completed,4.4,1500000,1070000,430000
B002712,CUST02207,FALSE,32,T011,T011_SH_So_231004_0218,Tour Phú Quốc 4N3Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Solo,Hotline,Normal,1710000,1,0,0,1,9/23/2023,10/4/2023,10/7/2023,Autumn,Rainy,Cancelled,,0,0,0
B002713,CUST02208,FALSE,40,T299,T299_PV_Co_231108_002712,Tour Hạ Long 2N1Đ - Cruise,Hạ Long,Bắc Bộ,Cruise,Domestic,Corporate,Website,Early,1300000,23,0,0,23,9/26/2023,11/8/2023,11/9/2023,Winter,Sunny,Completed,4.4,29900000,22850000,7050000
B002714,CUST02209,FALSE,54,T088,T088_SH_Fa_220412_0146,Tour Bến Tre 2N1Đ - River,Bến Tre,Nam Bộ,River,Domestic,Family,Social,Normal,980000,4,3,0,7,3/18/2022,4/12/2022,4/13/2022,Spring,Cloudy,Completed,3.9,5680000,3860000,1820000
B002715,CUST02210,FALSE,25,T232,T232_SH_Gr_230711_0214,Tour Quảng Bình 3N2Đ - Beach,Quảng Bình,Bắc Trung Bộ,Beach,Domestic,Group,Agent,Normal,1790000,5,0,0,5,6/24/2023,7/11/2023,7/13/2023,Summer,Sunny,Completed,3.8,8950000,6340000,2610000
B002716,CUST02211,FALSE,36,T306,T306_SH_Co_240907_0245,Tour Phú Quốc 6N5Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Couple,Website,Normal,3380000,2,0,0,2,8/24/2024,9/7/2024,9/12/2024,Autumn,Rainy,Completed,3.8,6760000,4800000,1960000
B002717,CUST02212,FALSE,50,T071,T071_SH_Fo_230716_0151,Tour Đà Lạt 3N2Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Foreign,Foreign,Social,Late,1590000,4,0,0,4,7/10/2023,7/16/2023,7/18/2023,Summer,Sunny,Completed,4.5,6360000,4650000,1710000
B002718,CUST02213,FALSE,32,T253,T253_SH_So_241214_0017,Tour Sa Pa 3N2Đ - Mountain,Sa Pa,Bắc Bộ,Mountain,Domestic,Solo,Social,Normal,1180000,1,0,0,1,11/30/2024,12/14/2024,12/16/2024,Winter,Cloudy,Completed,4.6,1180000,940000,240000
B002719,CUST01561,TRUE,29,T221,T221_PV_Co_240603_002718,Tour Đà Lạt 2N1Đ - Mountain,Đà Lạt,Tây Nguyên,Mountain,Domestic,Corporate,Agent,Early,1210000,17,0,0,17,4/27/2024,6/3/2024,6/4/2024,Summer,Sunny,Completed,4,20570000,13700000,6870000
B002720,CUST01892,TRUE,43,T246,T246_SH_Fa_240311_0057,Tour Hà Giang 6N5Đ - Adventure,Hà Giang,Bắc Bộ,Adventure,Domestic,Family,Agent,Normal,2750000,5,3,0,8,2/13/2024,3/11/2024,3/16/2024,Spring,Sunny,Completed,3.6,18700000,14930000,3770000
B002721,CUST02214,FALSE,24,T323,T323_SH_Gr_230724_0462,Tour Ninh Bình 2N1Đ - Cultural,Ninh Bình,Bắc Bộ,Cultural,Domestic,Group,Hotline,Normal,990000,11,0,0,11,6/28/2023,7/24/2023,7/25/2023,Summer,Sunny,Completed,4.8,10890000,8720000,2170000
B002722,CUST02215,FALSE,35,T137,T137_SH_Co_230815_0146,Tour Huế 7N6Đ - Cultural,Huế,Bắc Trung Bộ,Cultural,Domestic,Couple,Agent,Normal,2930000,2,0,0,2,8/5/2023,8/15/2023,8/21/2023,Summer,Sunny,Completed,3.8,5860000,4040000,1820000
B002723,CUST01053,TRUE,51,T264,T264_SH_Fo_230716_0113,Tour Quảng Bình 2N1Đ - Cultural,Quảng Bình,Bắc Trung Bộ,Cultural,Foreign,Foreign,Social,Normal,860000,2,0,0,2,7/6/2023,7/16/2023,7/17/2023,Summer,Sunny,Completed,4.5,1720000,1220000,500000
B002724,CUST02216,FALSE,35,T007,T007_SH_So_221227_0213,Tour Huế 3N2Đ - City,Huế,Bắc Trung Bộ,City,Domestic,Solo,Website,Normal,1390000,1,0,0,1,12/6/2022,12/27/2022,12/29/2022,Winter,Rainy,Cancelled,,0,0,0
B002725,CUST02217,FALSE,27,T356,T356_PV_Co_230109_002724,Tour Phú Quốc 2N1Đ - Beach,Phú Quốc,Nam Bộ,Beach,Domestic,Corporate,Agent,Early,1050000,24,0,0,24,12/8/2022,1/9/2023,1/10/2023,Winter,Sunny,Completed,3.9,25200000,17430000,7770000
B002726,CUST02218,FALSE,55,T090,T090_PV_Fa_240906_002725,Tour Mũi Né 2N1Đ - Beach,Mũi Né,Nam Trung Bộ,Beach,Domestic,Family,Website,Early,1350000,6,3,0,9,8/2/2024,9/6/2024,9/7/2024,Autumn,Storm,Cancelled,,0,0,0
